L0,L1,L2,Graph
-0.37285203,-0.9201201,0.72949183,5
-0.56030416,0.40323842,-0.24476612,4
0.19834566,0.3164731,0.7070546,4
-0.5131277,0.7890216,-0.11604273,6
0.15118615,0.07004428,-0.5825685,6
0.16550004,-0.8066851,-0.5027441,6
-0.039512992,-0.4907391,0.020136595,
-0.42562693,0.4854548,0.8086989,
-0.36091065,-0.7392405,-0.63670146,
0.33870804,-0.6574795,0.6487489,
0.6751649,-0.4975673,0.20324409,
-0.08849601,-0.3848529,-0.07913184,
0.6761477,0.7419528,0.42021954,
0.5074624,-0.6480019,-0.8265995,
-0.8302753,-0.21765101,-0.34481645,
0.7593832,0.902017,0.18282194,
-0.06748027,-0.2731316,-0.4461485,
0.7235763,0.66286635,-0.2916001,
0.48320794,0.9901264,0.7281431,
0.83406246,-0.13885665,-0.034125686,
-0.028405815,-0.7630134,0.5949737,
-0.06338446,-0.09859097,0.058508277,
-0.87681925,-0.0061124563,0.14653242,
0.67796385,-0.3186189,-0.52891785,
-0.901772,0.18332481,-0.47072497,
0.899264,0.056614757,-0.24366628,
0.12714028,-0.10772383,0.38345218,
0.8139522,-0.68593466,0.84934056,
-0.47337627,-0.500277,-0.038422585,
0.09243357,0.9364084,-0.5490353,
0.6332445,-0.8309002,-0.77075386,
0.3674838,-0.21271363,-0.52308154,
0.63322127,0.8525349,-0.3500898,
0.3437941,0.10853803,0.62811065,
0.24483752,-0.8976326,0.87272143,
0.36386788,-0.60357076,0.27057153,
0.99873865,-0.037861586,-0.9868144,
0.6468128,-0.5155838,0.095806,
-0.9259861,0.03960395,-0.02760619,
0.26197982,-0.2246983,0.57274544,
0.8404728,-0.020462275,-0.34678733,
-0.96113324,0.38463533,-0.48310816,
0.66095734,0.28017676,0.6203506,
-0.09932816,0.62876797,-0.022218704,
0.17169023,0.2594868,0.98273253,
0.17301683,0.57637584,-0.39503813,
-0.21587098,0.1970383,0.06120801,
-0.049797297,0.48222423,0.41143656,
-0.29218566,0.6190907,-0.10184145,
0.24147189,-0.35218576,0.782295,
0.5656899,0.8086058,-0.13069025,
-0.008846045,-0.9366002,-0.70969653,
0.100458056,-0.56005967,-0.5496024,
0.18344843,0.912905,0.7719015,
0.46383867,0.48153734,-0.36912167,
-0.56941795,0.7453706,-0.0668945,
-0.40664363,0.2978176,0.26209354,
0.24662414,0.33205807,-0.8290914,
0.39146543,0.79325664,-0.56686914,
0.65744543,-0.66125643,-0.53589284,
0.31642437,0.007970095,-0.8294052,
0.607236,0.6931648,0.3807705,
-0.131863,-0.9232029,-0.89140236,
1.0,-0.5985899,-0.34693372,
0.27273571,0.9296844,-0.7245035,
0.5360576,-0.12434292,0.6137538,
0.16654706,0.85871696,1.0,
0.7193998,-0.5650487,0.84804046,
0.8912014,-0.14295328,,
0.40391636,-0.35194826,,
0.6861541,0.61355174,,
-0.8008534,-1.0,,
0.65629655,-0.99264264,,
0.7438648,0.6835325,,
-0.68979853,-0.8931509,,
